domain,price,currency,date,source,venue,tld,position,keyword
ki-jobs.de,23812,USD,2026-06-14,dnjournal,,de,,
build.se,20010,USD,2026-06-14,dnjournal,,se,,
pillow.de,13225,USD,2026-06-14,dnjournal,Sedo,de,,
svapo.it,11500,USD,2026-06-14,dnjournal,Sedo,it,,
snd.de,9200,USD,2026-06-14,dnjournal,,de,,
sports.si,8625,USD,2026-06-14,dnjournal,Sedo,si,,
xh.de,8625,USD,2026-06-14,dnjournal,Sedo,de,,
kare.it,78564,USD,2026-06-14,dnjournal,Sedo,it,,
bitz.ai,7763,USD,2026-06-14,dnjournal,Sedo,ai,,
dvo.nl,7475,USD,2026-06-14,dnjournal,,nl,,
april.no,46686,USD,2026-06-14,dnjournal,,no,,
factory.bg,86001,USD,2026-06-14,dnjournal,,bg,,
robinsons.co.uk,6650,USD,2026-06-14,dnjournal,,uk,,
baute.de,5750,USD,2026-06-14,dnjournal,Sedo,de,,
open.social,3738,USD,2026-06-14,dnjournal,Sedo,social,,
totemanimal.org,2875,USD,2026-06-14,dnjournal,Sedo,org,,
atnyumc.org,91770,USD,2026-06-14,dnjournal,Sedo,org,,
mindmesh.com,150000,USD,2026-06-14,dnjournal,,com,,
world.xyz,80000,USD,2026-06-14,dnjournal,,xyz,,
totalrx.com,75000,USD,2026-06-14,dnjournal,Sedo,com,,
minicrossword.com,71000,USD,2026-06-14,dnjournal,,com,,
af.org,60000,USD,2026-06-14,dnjournal,Sedo,org,,
compound.xyz,50000,USD,2026-06-14,dnjournal,Sedo,xyz,,
archon.tech,35000,USD,2026-06-14,dnjournal,Sedo,tech,,
kupon.com,30000,USD,2026-06-14,dnjournal,Sedo,com,,
beanie.ai,18999,USD,2026-06-14,dnjournal,,ai,,
arisi.com,17795,USD,2026-06-14,dnjournal,,com,,
hotpath.com,16995,USD,2026-06-14,dnjournal,Sedo,com,,
qbts.ai,15500,USD,2026-06-14,dnjournal,,ai,,
desain.com,15000,USD,2026-06-14,dnjournal,Sedo,com,,
practs.com,13888,USD,2026-06-14,dnjournal,,com,,
bitcoinmovie.com,12000,USD,2026-06-14,dnjournal,,com,,
narra.org,8800,USD,2026-06-14,dnjournal,,org,,
47brand.jp,8500,USD,2026-06-14,dnjournal,Sedo,jp,,
lunau.xyz,8000,USD,2026-06-14,dnjournal,Sedo,xyz,,
trustledger.ai,7952,USD,2026-06-14,dnjournal,,ai,,
diagram.now,6600,USD,2026-06-14,dnjournal,,now,,
hermat.com,4999,USD,2026-06-14,dnjournal,,com,,
meshgpt.com,4995,USD,2026-06-14,dnjournal,,com,,
cardinallaw.com,4995,USD,2026-06-14,dnjournal,,com,,
neptunepool.com,4995,USD,2026-06-14,dnjournal,,com,,
chatdrop.com,4960,USD,2026-06-14,dnjournal,,com,,
crnvr.com,4950,USD,2026-06-14,dnjournal,,com,,
innerboard.com,4888,USD,2026-06-14,dnjournal,,com,,
vaoz.com,4800,USD,2026-06-14,dnjournal,,com,,
aaaaaaaa.com,4800,USD,2026-06-14,dnjournal,,com,,
learnkart.com,4700,USD,2026-06-14,dnjournal,,com,,
spryspace.com,4595,USD,2026-06-14,dnjournal,,com,,
hikery.com,4500,USD,2026-06-14,dnjournal,,com,,
whitefox.cn,4500,USD,2026-06-14,dnjournal,,cn,,
brainports.com,4499,USD,2026-06-14,dnjournal,,com,,
dialdelivery.com,4499,USD,2026-06-14,dnjournal,,com,,
jacot.eu,4485,USD,2026-06-14,dnjournal,,eu,,
parivo.com,4395,USD,2026-06-14,dnjournal,,com,,
annosa.com,4395,USD,2026-06-14,dnjournal,,com,,
lucera.eu,4370,USD,2026-06-14,dnjournal,,eu,,
mindcrate.com,4328,USD,2026-06-14,dnjournal,,com,,
owlscout.com,4249,USD,2026-06-14,dnjournal,,com,,
verbago.com,4200,USD,2026-06-14,dnjournal,,com,,
pvphq.com,4200,USD,2026-06-14,dnjournal,,com,,
prosperagent.com,4199,USD,2026-06-14,dnjournal,,com,,
simpleslot.com,4199,USD,2026-06-14,dnjournal,,com,,
veloskin.com,4199,USD,2026-06-14,dnjournal,,com,,
neohype.com,4121,USD,2026-06-14,dnjournal,,com,,
oryka.com,4095,USD,2026-06-14,dnjournal,,com,,
aurea.nl,4025,USD,2026-06-14,dnjournal,,nl,,
opcon.eu,4024,USD,2026-06-14,dnjournal,,eu,,
pixelcrew.com,4000,USD,2026-06-14,dnjournal,,com,,
assaulted.com,4000,USD,2026-06-14,dnjournal,,com,,
storlytics.com,3999,USD,2026-06-14,dnjournal,,com,,
saddle.net,3999,USD,2026-06-14,dnjournal,Sedo,net,,
baufreunde.de,3969,USD,2026-06-14,dnjournal,,de,,
exrg.com,3911,USD,2026-06-14,dnjournal,,com,,
gamepult.com,3900,USD,2026-06-14,dnjournal,,com,,
managedagent.com,3896,USD,2026-06-14,dnjournal,,com,,
uailabs.com,3888,USD,2026-06-14,dnjournal,,com,,
leadsmax.com,3852,USD,2026-06-14,dnjournal,,com,,
renovasi.com,3850,USD,2026-06-14,dnjournal,,com,,
aurify.com,3800,USD,2026-06-14,dnjournal,,com,,
hotfriday.com,3799,USD,2026-06-14,dnjournal,,com,,
mountee.com,3799,USD,2026-06-14,dnjournal,,com,,
montagepartner.de,3794,USD,2026-06-14,dnjournal,,de,,
corecopy.com,3750,USD,2026-06-14,dnjournal,,com,,
letsenroll.com,3750,USD,2026-06-14,dnjournal,,com,,
aiworkstations.com,3749,USD,2026-06-14,dnjournal,,com,,
brunchy.com,3738,USD,2026-06-14,dnjournal,,com,,
stock.si,3738,USD,2026-06-14,dnjournal,,si,,
hotelpertutti.it,3696,USD,2026-06-14,dnjournal,,it,,
forpes.com,3688,USD,2026-06-14,dnjournal,,com,,
new.si,3680,USD,2026-06-14,dnjournal,,si,,
