domain,price,currency,date,source,tld,keyword,position
ki-jobs.de,23812,USD,2026-06-14,dnjournal_real,de,,
build.se,20010,USD,2026-06-14,dnjournal_real,se,,
pillow.de,13225,USD,2026-06-14,dnjournal_real,de,,
svapo.it,11500,USD,2026-06-14,dnjournal_real,it,,
snd.de,9200,USD,2026-06-14,dnjournal_real,de,,
sports.si,8625,USD,2026-06-14,dnjournal_real,si,,
xh.de,8625,USD,2026-06-14,dnjournal_real,de,,
kare.it,78564,USD,2026-06-14,dnjournal_real,it,,
bitz.ai,7763,USD,2026-06-14,dnjournal_real,ai,,
dvo.nl,7475,USD,2026-06-14,dnjournal_real,nl,,
april.no,46686,USD,2026-06-14,dnjournal_real,no,,
factory.bg,86001,USD,2026-06-14,dnjournal_real,bg,,
robinsons.co.uk,6650,USD,2026-06-14,dnjournal_real,uk,,
baute.de,5750,USD,2026-06-14,dnjournal_real,de,,
open.social,3738,USD,2026-06-14,dnjournal_real,social,,
totemanimal.org,2875,USD,2026-06-14,dnjournal_real,org,,
atnyumc.org,91770,USD,2026-06-14,dnjournal_real,org,,
mindmesh.com,150000,USD,2026-06-14,dnjournal_real,com,,
world.xyz,80000,USD,2026-06-14,dnjournal_real,xyz,,
totalrx.com,75000,USD,2026-06-14,dnjournal_real,com,,
minicrossword.com,71000,USD,2026-06-14,dnjournal_real,com,,
af.org,60000,USD,2026-06-14,dnjournal_real,org,,
compound.xyz,50000,USD,2026-06-14,dnjournal_real,xyz,,
archon.tech,35000,USD,2026-06-14,dnjournal_real,tech,,
kupon.com,30000,USD,2026-06-14,dnjournal_real,com,,
beanie.ai,18999,USD,2026-06-14,dnjournal_real,ai,,
arisi.com,17795,USD,2026-06-14,dnjournal_real,com,,
hotpath.com,16995,USD,2026-06-14,dnjournal_real,com,,
qbts.ai,15500,USD,2026-06-14,dnjournal_real,ai,,
desain.com,15000,USD,2026-06-14,dnjournal_real,com,,
practs.com,13888,USD,2026-06-14,dnjournal_real,com,,
bitcoinmovie.com,12000,USD,2026-06-14,dnjournal_real,com,,
narra.org,8800,USD,2026-06-14,dnjournal_real,org,,
47brand.jp,8500,USD,2026-06-14,dnjournal_real,jp,,
lunau.xyz,8000,USD,2026-06-14,dnjournal_real,xyz,,
trustledger.ai,7952,USD,2026-06-14,dnjournal_real,ai,,
diagram.now,6600,USD,2026-06-14,dnjournal_real,now,,
hermat.com,4999,USD,2026-06-14,dnjournal_real,com,,
meshgpt.com,4995,USD,2026-06-14,dnjournal_real,com,,
cardinallaw.com,4995,USD,2026-06-14,dnjournal_real,com,,
neptunepool.com,4995,USD,2026-06-14,dnjournal_real,com,,
chatdrop.com,4960,USD,2026-06-14,dnjournal_real,com,,
crnvr.com,4950,USD,2026-06-14,dnjournal_real,com,,
innerboard.com,4888,USD,2026-06-14,dnjournal_real,com,,
vaoz.com,4800,USD,2026-06-14,dnjournal_real,com,,
aaaaaaaa.com,4800,USD,2026-06-14,dnjournal_real,com,,
learnkart.com,4700,USD,2026-06-14,dnjournal_real,com,,
spryspace.com,4595,USD,2026-06-14,dnjournal_real,com,,
hikery.com,4500,USD,2026-06-14,dnjournal_real,com,,
whitefox.cn,4500,USD,2026-06-14,dnjournal_real,cn,,
brainports.com,4499,USD,2026-06-14,dnjournal_real,com,,
dialdelivery.com,4499,USD,2026-06-14,dnjournal_real,com,,
jacot.eu,4485,USD,2026-06-14,dnjournal_real,eu,,
parivo.com,4395,USD,2026-06-14,dnjournal_real,com,,
annosa.com,4395,USD,2026-06-14,dnjournal_real,com,,
lucera.eu,4370,USD,2026-06-14,dnjournal_real,eu,,
mindcrate.com,4328,USD,2026-06-14,dnjournal_real,com,,
owlscout.com,4249,USD,2026-06-14,dnjournal_real,com,,
verbago.com,4200,USD,2026-06-14,dnjournal_real,com,,
pvphq.com,4200,USD,2026-06-14,dnjournal_real,com,,
prosperagent.com,4199,USD,2026-06-14,dnjournal_real,com,,
simpleslot.com,4199,USD,2026-06-14,dnjournal_real,com,,
veloskin.com,4199,USD,2026-06-14,dnjournal_real,com,,
neohype.com,4121,USD,2026-06-14,dnjournal_real,com,,
oryka.com,4095,USD,2026-06-14,dnjournal_real,com,,
aurea.nl,4025,USD,2026-06-14,dnjournal_real,nl,,
opcon.eu,4024,USD,2026-06-14,dnjournal_real,eu,,
pixelcrew.com,4000,USD,2026-06-14,dnjournal_real,com,,
assaulted.com,4000,USD,2026-06-14,dnjournal_real,com,,
storlytics.com,3999,USD,2026-06-14,dnjournal_real,com,,
saddle.net,3999,USD,2026-06-14,dnjournal_real,net,,
baufreunde.de,3969,USD,2026-06-14,dnjournal_real,de,,
exrg.com,3911,USD,2026-06-14,dnjournal_real,com,,
gamepult.com,3900,USD,2026-06-14,dnjournal_real,com,,
managedagent.com,3896,USD,2026-06-14,dnjournal_real,com,,
uailabs.com,3888,USD,2026-06-14,dnjournal_real,com,,
leadsmax.com,3852,USD,2026-06-14,dnjournal_real,com,,
renovasi.com,3850,USD,2026-06-14,dnjournal_real,com,,
aurify.com,3800,USD,2026-06-14,dnjournal_real,com,,
hotfriday.com,3799,USD,2026-06-14,dnjournal_real,com,,
mountee.com,3799,USD,2026-06-14,dnjournal_real,com,,
montagepartner.de,3794,USD,2026-06-14,dnjournal_real,de,,
corecopy.com,3750,USD,2026-06-14,dnjournal_real,com,,
letsenroll.com,3750,USD,2026-06-14,dnjournal_real,com,,
aiworkstations.com,3749,USD,2026-06-14,dnjournal_real,com,,
brunchy.com,3738,USD,2026-06-14,dnjournal_real,com,,
stock.si,3738,USD,2026-06-14,dnjournal_real,si,,
hotelpertutti.it,3696,USD,2026-06-14,dnjournal_real,it,,
forpes.com,3688,USD,2026-06-14,dnjournal_real,com,,
new.si,3680,USD,2026-06-14,dnjournal_real,si,,
unternehmensbewertung.ch,3669,USD,2026-06-14,dnjournal_real,ch,,
trippify.com,3658,USD,2026-06-14,dnjournal_real,com,,
ionicorder.com,3650,USD,2026-06-14,dnjournal_real,com,,
verdira.com,3614,USD,2026-06-14,dnjournal_real,com,,
vantridge.com,3504,USD,2026-06-14,dnjournal_real,com,,
leadingmatters.com,3500,USD,2026-06-14,dnjournal_real,com,,
anviora.com,3499,USD,2026-06-14,dnjournal_real,com,,
growthian.com,3499,USD,2026-06-14,dnjournal_real,com,,
sigvi.com,3499,USD,2026-06-14,dnjournal_real,com,,
voyaly.com,3499,USD,2026-06-14,dnjournal_real,com,,
donami.com,3450,USD,2026-06-14,dnjournal_real,com,,
ruedesevres.com,3450,USD,2026-06-14,dnjournal_real,com,,
tmat.cn,3450,USD,2026-06-14,dnjournal_real,cn,,
byte.si,3450,USD,2026-06-14,dnjournal_real,si,,
skin1004.cn,3450,USD,2026-06-14,dnjournal_real,cn,,
zmat.de,3450,USD,2026-06-14,dnjournal_real,de,,
safegpt.eu,3449,USD,2026-06-14,dnjournal_real,eu,,
security.si,3449,USD,2026-06-14,dnjournal_real,si,,
worldseek.com,3378,USD,2026-06-14,dnjournal_real,com,,
luckytiger.co.uk,3325,USD,2026-06-14,dnjournal_real,uk,,
alphaangle.com,3311,USD,2026-06-14,dnjournal_real,com,,
rareon.com,3299,USD,2026-06-14,dnjournal_real,com,,
mercadinho.pt,3282,USD,2026-06-14,dnjournal_real,pt,,
dyno.io,3278,USD,2026-06-14,dnjournal_real,io,,
house.si,3220,USD,2026-06-14,dnjournal_real,si,,
agenticexposure.com,3119,USD,2026-06-14,dnjournal_real,com,,
propaan.com,3116,USD,2026-06-14,dnjournal_real,com,,
burkinshaw.com,3000,USD,2026-06-14,dnjournal_real,com,,
mavsbasketball.com,3000,USD,2026-06-14,dnjournal_real,com,,
eyeball.group,3000,USD,2026-06-14,dnjournal_real,group,,
fara.day,2999,USD,2026-06-14,dnjournal_real,day,,
grapps.com,2995,USD,2026-06-14,dnjournal_real,com,,
lucky.live,2988,USD,2026-06-14,dnjournal_real,live,,
clone.fr,2875,USD,2026-06-14,dnjournal_real,fr,,
happy.cl,2875,USD,2026-06-14,dnjournal_real,cl,,
priventa.de,2842,USD,2026-06-14,dnjournal_real,de,,
recruit.be,2818,USD,2026-06-14,dnjournal_real,be,,
vintage.ae,2760,USD,2026-06-14,dnjournal_real,ae,,
military.lv,2668,USD,2026-06-14,dnjournal_real,lv,,
ivy.one,2500,USD,2026-06-14,dnjournal_real,one,,
kanzleiwebseite.de,2461,USD,2026-06-14,dnjournal_real,de,,
bonus.rs,2300,USD,2026-06-14,dnjournal_real,rs,,
mb.cl,2300,USD,2026-06-14,dnjournal_real,cl,,
pulsa.eu,2300,USD,2026-06-14,dnjournal_real,eu,,
mallorca-guide.de,2207,USD,2026-06-14,dnjournal_real,de,,
traded.net,2199,USD,2026-06-14,dnjournal_real,net,,
vematec.nl,2064,USD,2026-06-14,dnjournal_real,nl,,
waldfreunde.de,2048,USD,2026-06-14,dnjournal_real,de,,
esdc.eu,2013,USD,2026-06-14,dnjournal_real,eu,,
bowstring.net,1980,USD,2026-06-14,dnjournal_real,net,,
vidar.ch,1898,USD,2026-06-14,dnjournal_real,ch,,
psychodynamik.de,1889,USD,2026-06-14,dnjournal_real,de,,
china.ie,1868,USD,2026-06-14,dnjournal_real,ie,,
maas.be,1801,USD,2026-06-14,dnjournal_real,be,,
lyv.be,1725,USD,2026-06-14,dnjournal_real,be,,
alhena.fr,1724,USD,2026-06-14,dnjournal_real,fr,,
sini.co.uk,1506,USD,2026-06-14,dnjournal_real,uk,,
windt.nl,1438,USD,2026-06-14,dnjournal_real,nl,,
groenopdak.nl,1409,USD,2026-06-14,dnjournal_real,nl,,
pyra.uk,1330,USD,2026-06-14,dnjournal_real,uk,,
klussen.be,1323,USD,2026-06-14,dnjournal_real,be,,
maatschap.nl,1323,USD,2026-06-14,dnjournal_real,nl,,
bodywise.ch,1150,USD,2026-06-14,dnjournal_real,ch,,
liebenswert.at,1150,USD,2026-06-14,dnjournal_real,at,,
pflegepunkt.de,1150,USD,2026-06-14,dnjournal_real,de,,
triton.it,1150,USD,2026-06-14,dnjournal_real,it,,
afix.be,1144,USD,2026-06-14,dnjournal_real,be,,
naama.fr,1144,USD,2026-06-14,dnjournal_real,fr,,
maenhout.be,1121,USD,2026-06-14,dnjournal_real,be,,
onigiri.nl,1093,USD,2026-06-14,dnjournal_real,nl,,
fruits.co,20,USD,2026-06-14,dnjournal_real,co,,
osiro.com,29000,USD,2026-06-11,dnjournal_real,com,,
doggy.it,17400,USD,2026-06-11,dnjournal_real,it,,
iw7.com,17400,USD,2026-06-11,dnjournal_real,com,,
scoretv.com,16240,USD,2026-06-11,dnjournal_real,com,,
htf.nl,8700,USD,2026-06-11,dnjournal_real,nl,,
stickerapp.eu,98699,USD,2026-06-11,dnjournal_real,eu,,
keez.it,8236,USD,2026-06-11,dnjournal_real,it,,
tlg.co.uk,8120,USD,2026-06-11,dnjournal_real,uk,,
jobsthe.com,35736,USD,2026-06-14,augmented_keyword,com,jobs,start
jobs.de,6789,USD,2026-06-14,augmented_keyword,de,jobs,exact
groupjobs.com,24763,USD,2026-06-14,augmented_keyword,com,jobs,end
jobs.com,11973,USD,2026-06-14,augmented_keyword,com,jobs,exact
jobsnew.com,26578,USD,2026-06-14,augmented_keyword,com,jobs,start
easyjobsstore.com,8014,USD,2026-06-14,augmented_keyword,com,jobs,middle
jobs.org,21916,USD,2026-06-14,augmented_keyword,org,jobs,exact
maxjobsmedia.de,4725,USD,2026-06-14,augmented_keyword,de,jobs,middle
digitaljobs.de,13255,USD,2026-06-14,augmented_keyword,de,jobs,end
buyjobsapp.com,42652,USD,2026-06-14,augmented_keyword,com,jobs,middle
jobshq.de,13509,USD,2026-06-14,augmented_keyword,de,jobs,start
jobs.co,14059,USD,2026-06-14,augmented_keyword,co,jobs,exact
nowjobsnow.app,25566,USD,2026-06-14,augmented_keyword,app,jobs,middle
jobsnew.de,59520,USD,2026-06-14,augmented_keyword,de,jobs,start
nowjobs.dev,8095,USD,2026-06-14,augmented_keyword,dev,jobs,end
jobs.net,29294,USD,2026-06-14,augmented_keyword,net,jobs,exact
cloudjobsfast.de,5955,USD,2026-06-14,augmented_keyword,de,jobs,middle
cloudjobs.de,64068,USD,2026-06-14,augmented_keyword,de,jobs,end
jobsmedia.de,22038,USD,2026-06-14,augmented_keyword,de,jobs,start
worldjobsstore.com,28457,USD,2026-06-14,augmented_keyword,com,jobs,middle
jobshub.de,8540,USD,2026-06-14,augmented_keyword,de,jobs,start
jobssmart.com,22496,USD,2026-06-14,augmented_keyword,com,jobs,start
topjobs.de,22394,USD,2026-06-14,augmented_keyword,de,jobs,end
thejobsable.com,15733,USD,2026-06-14,augmented_keyword,com,jobs,middle
jobsinc.de,8987,USD,2026-06-14,augmented_keyword,de,jobs,start
smartjobs.de,20607,USD,2026-06-14,augmented_keyword,de,jobs,end
jobscorp.de,13624,USD,2026-06-14,augmented_keyword,de,jobs,start
getjobsllc.de,50861,USD,2026-06-14,augmented_keyword,de,jobs,middle
hubjobs.de,23369,USD,2026-06-14,augmented_keyword,de,jobs,end
bestjobsonline.com,6172,USD,2026-06-14,augmented_keyword,com,jobs,middle
newjobshq.org,12863,USD,2026-06-14,augmented_keyword,org,jobs,middle
topjobsmax.de,9807,USD,2026-06-14,augmented_keyword,de,jobs,middle
jobslab.com,11577,USD,2026-06-14,augmented_keyword,com,jobs,start
newjobsglobal.de,12607,USD,2026-06-14,augmented_keyword,de,jobs,middle
digitaljobsable.io,41164,USD,2026-06-14,augmented_keyword,io,jobs,middle
getjobsnew.ai,7512,USD,2026-06-14,augmented_keyword,ai,jobs,middle
jobs.app,19795,USD,2026-06-14,augmented_keyword,app,jobs,exact
jobsinc.com,10786,USD,2026-06-14,augmented_keyword,com,jobs,start
thejobsgroup.de,12725,USD,2026-06-14,augmented_keyword,de,jobs,middle
appjobsly.xyz,12219,USD,2026-06-14,augmented_keyword,xyz,jobs,middle
digitaljobscloud.app,33488,USD,2026-06-14,augmented_keyword,app,jobs,middle
jobs.shop,6822,USD,2026-06-14,augmented_keyword,shop,jobs,exact
smartjobsplus.com,32663,USD,2026-06-14,augmented_keyword,com,jobs,middle
jobsmax.tech,15707,USD,2026-06-14,augmented_keyword,tech,jobs,start
globaljobs.com,3114,USD,2026-06-14,augmented_keyword,com,jobs,end
jobsworld.info,21291,USD,2026-06-14,augmented_keyword,info,jobs,start
jobshq.com,13056,USD,2026-06-14,augmented_keyword,com,jobs,start
digitaljobs.io,7235,USD,2026-06-14,augmented_keyword,io,jobs,end
hqjobs.org,4167,USD,2026-06-14,augmented_keyword,org,jobs,end
worldjobs.co,2518,USD,2026-06-14,augmented_keyword,co,jobs,end
hqjobs.de,15375,USD,2026-06-14,augmented_keyword,de,jobs,end
nowjobs.biz,17632,USD,2026-06-14,augmented_keyword,biz,jobs,end
jobshub.com,30830,USD,2026-06-14,augmented_keyword,com,jobs,start
jobseasy.de,1651,USD,2026-06-14,augmented_keyword,de,jobs,start
jobsplus.com,9781,USD,2026-06-14,augmented_keyword,com,jobs,start
jobsthe.ai,8412,USD,2026-06-14,augmented_keyword,ai,jobs,start
appjobstech.net,17479,USD,2026-06-14,augmented_keyword,net,jobs,middle
jobsthe.de,57554,USD,2026-06-14,augmented_keyword,de,jobs,start
projobs.net,69983,USD,2026-06-14,augmented_keyword,net,jobs,end
jobs.dev,8512,USD,2026-06-14,augmented_keyword,dev,jobs,exact
jobstech.de,29970,USD,2026-06-14,augmented_keyword,de,jobs,start
thejobsthe.com,3620,USD,2026-06-14,augmented_keyword,com,jobs,middle
jobs.ai,5773,USD,2026-06-14,augmented_keyword,ai,jobs,exact
jobs.site,8224,USD,2026-06-14,augmented_keyword,site,jobs,exact
maxjobs.de,26469,USD,2026-06-14,augmented_keyword,de,jobs,end
digitaljobs.co,10863,USD,2026-06-14,augmented_keyword,co,jobs,end
jobsplus.de,13012,USD,2026-06-14,augmented_keyword,de,jobs,start
jobsable.de,41235,USD,2026-06-14,augmented_keyword,de,jobs,start
cloudjobsbest.de,13070,USD,2026-06-14,augmented_keyword,de,jobs,middle
buyjobs.de,26161,USD,2026-06-14,augmented_keyword,de,jobs,end
jobsmedia.io,27797,USD,2026-06-14,augmented_keyword,io,jobs,start
gojobs.com,22641,USD,2026-06-14,augmented_keyword,com,jobs,end
jobsgroup.com,9754,USD,2026-06-14,augmented_keyword,com,jobs,start
jobssmart.de,8374,USD,2026-06-14,augmented_keyword,de,jobs,start
jobsio.de,19150,USD,2026-06-14,augmented_keyword,de,jobs,start
projobs.de,22893,USD,2026-06-14,augmented_keyword,de,jobs,end
newjobs.com,38348,USD,2026-06-14,augmented_keyword,com,jobs,end
jobslab.org,10702,USD,2026-06-14,augmented_keyword,org,jobs,start
jobsbox.com,12831,USD,2026-06-14,augmented_keyword,com,jobs,start
topjobs.net,173633,USD,2026-06-14,augmented_keyword,net,jobs,end
jobsco.de,5041,USD,2026-06-14,augmented_keyword,de,jobs,start
cloudjobslab.com,131415,USD,2026-06-14,augmented_keyword,com,jobs,middle
bestjobs.io,34643,USD,2026-06-14,augmented_keyword,io,jobs,end
jobsio.com,11413,USD,2026-06-14,augmented_keyword,com,jobs,start
storejobs.net,14006,USD,2026-06-14,augmented_keyword,net,jobs,end
storejobsai.com,34298,USD,2026-06-14,augmented_keyword,com,jobs,middle
jobsly.org,26578,USD,2026-06-14,augmented_keyword,org,jobs,start
hqjobsio.de,11108,USD,2026-06-14,augmented_keyword,de,jobs,middle
jobsbest.de,33731,USD,2026-06-14,augmented_keyword,de,jobs,start
jobsgo.io,19386,USD,2026-06-14,augmented_keyword,io,jobs,start
newjobsllc.com,62934,USD,2026-06-14,augmented_keyword,com,jobs,middle
getjobscloud.de,22267,USD,2026-06-14,augmented_keyword,de,jobs,middle
cloudjobs.club,16623,USD,2026-06-14,augmented_keyword,club,jobs,end
appjobsweb.de,10265,USD,2026-06-14,augmented_keyword,de,jobs,middle
digitaljobsable.com,4820,USD,2026-06-14,augmented_keyword,com,jobs,middle
hqjobstop.com,29780,USD,2026-06-14,augmented_keyword,com,jobs,middle
plusjobstech.de,7569,USD,2026-06-14,augmented_keyword,de,jobs,middle
thejobsly.de,197305,USD,2026-06-14,augmented_keyword,de,jobs,middle
appjobs.ai,19364,USD,2026-06-14,augmented_keyword,ai,jobs,end
jobsshop.de,24377,USD,2026-06-14,augmented_keyword,de,jobs,start
build.com,9348,USD,2026-06-14,augmented_keyword,com,build,exact
gobuild.io,7539,USD,2026-06-14,augmented_keyword,io,build,end
buildify.shop,27692,USD,2026-06-14,augmented_keyword,shop,build,start
hubbuildtop.com,28764,USD,2026-06-14,augmented_keyword,com,build,middle
build.store,26024,USD,2026-06-14,augmented_keyword,store,build,exact
globalbuild.store,34716,USD,2026-06-14,augmented_keyword,store,build,end
build.ai,49782,USD,2026-06-14,augmented_keyword,ai,build,exact
build.org,5734,USD,2026-06-14,augmented_keyword,org,build,exact
buybuildcloud.com,7563,USD,2026-06-14,augmented_keyword,com,build,middle
buildsmart.de,2775,USD,2026-06-14,augmented_keyword,de,build,start
globalbuild.dev,33453,USD,2026-06-14,augmented_keyword,dev,build,end
newbuild.app,6117,USD,2026-06-14,augmented_keyword,app,build,end
buildllc.com,28239,USD,2026-06-14,augmented_keyword,com,build,start
buildglobal.com,73771,USD,2026-06-14,augmented_keyword,com,build,start
groupbuild.com,19371,USD,2026-06-14,augmented_keyword,com,build,end
build.tv,8070,USD,2026-06-14,augmented_keyword,tv,build,exact
