domain,price,currency,date,source,venue,tld
honeypot.com,150000,USD,,dnjournal,,com
remedy.co,75000,USD,,dnjournal,,co
vegas.ai,70000,USD,,dnjournal,,ai
stagehand.com,42000,USD,,dnjournal,,com
.org,30000,USD,,dnjournal,,org
domainmarket.com,22245,USD,,dnjournal,,com
happyoyster.com,19888,USD,,dnjournal,,com
agenticintelligence.com,150000,USD,,dnjournal,,com
atuin.com,38900,USD,,dnjournal,,com
easyfi.com,34000,USD,,dnjournal,,com
identitytheft.org,30000,USD,,dnjournal,,org
toronto.ai,29000,USD,,dnjournal,,ai
osiro.com,29000,USD,,dnjournal,,com
tikkun.org,23500,USD,,dnjournal,,org
courtbooking.com,22245,USD,,dnjournal,,com
select.org,19511,USD,,dnjournal,,org
voso.com,18000,USD,,dnjournal,,com
doggy.it,17400,USD,,dnjournal,,it
iw7.com,17400,USD,,dnjournal,,com
zagora.com,16500,USD,,dnjournal,,com
scoretv.com,16240,USD,,dnjournal,,com
maint.com,15500,USD,,dnjournal,,com
waikatonz.com,15500,USD,,dnjournal,,com
etzz.com,15211,USD,,dnjournal,,com
vertage.com,15000,USD,,dnjournal,,com
sfdata.com,14995,USD,,dnjournal,,com
goldassetmanagement.com,14888,USD,,dnjournal,,com
livance.com,14888,USD,,dnjournal,,com
lincolnapts.com,14500,USD,,dnjournal,,com
lupemba.com,13500,USD,,dnjournal,,com
personio.ai,13024,USD,,dnjournal,,ai
justravel.com,12869,USD,,dnjournal,,com
blueandjohncrowmountains.org,12501,USD,,dnjournal,,org
sponge.co,12500,USD,,dnjournal,,co
verismo.com,11999,USD,,dnjournal,,com
solar.net,11602,USD,,dnjournal,,net
autobatterie.de,11600,USD,,dnjournal,,de
lifecode.com,11056,USD,,dnjournal,,com
worldcrops.org,11001,USD,,dnjournal,,org
vetgen.com,10600,USD,,dnjournal,,com
stakeholders.com,10500,USD,,dnjournal,,com
routier.com,10440,USD,,dnjournal,,com
scan.it,10440,USD,,dnjournal,,it
instruct.org,10249,USD,,dnjournal,,org
5jl.com,10211,USD,,dnjournal,,com
syntheticgenomics.com,10150,USD,,dnjournal,,com
carolinapropertymanagement.com,10000,USD,,dnjournal,,com
zavo.ai,10000,USD,,dnjournal,,ai
zeom.com,10000,USD,,dnjournal,,com
sxxbet.com,9995,USD,,dnjournal,,com
webbird.com,7999,USD,,dnjournal,,com
vistamail.com,3474,USD,,dnjournal,,com
solivia.com,7925,USD,,dnjournal,,com
prohats.com,3288,USD,,dnjournal,,com
hundredagents.com,7540,USD,,dnjournal,,com
acrylicconcepts.com,3195,USD,,dnjournal,,com
partenza.com,7540,USD,,dnjournal,,com
jelani.com,3082,USD,,dnjournal,,com
oflo.com,7370,USD,,dnjournal,,com
ivexo.com,3070,USD,,dnjournal,,com
junkfree.com,7001,USD,,dnjournal,,com
bitint.com,3000,USD,,dnjournal,,com
proseat.com,6960,USD,,dnjournal,,com
darkconnections.com,3000,USD,,dnjournal,,com
actesa.com,6805,USD,,dnjournal,,com
ferrygreece.com,3000,USD,,dnjournal,,com
tivra.com,5100,USD,,dnjournal,,com
appsiq.com,2999,USD,,dnjournal,,com
etalage.com,5000,USD,,dnjournal,,com
ignitemarketplace.com,2999,USD,,dnjournal,,com
milanbahis.com,5000,USD,,dnjournal,,com
moduslegal.com,2999,USD,,dnjournal,,com
reiscasino.com,5000,USD,,dnjournal,,com
onlinebrand.com,2997,USD,,dnjournal,,com
sailorsvalentine.com,5000,USD,,dnjournal,,com
petitionmanagement.com,2997,USD,,dnjournal,,com
drawinsight.com,4999,USD,,dnjournal,,com
acesms.com,2988,USD,,dnjournal,,com
firstclassfleet.com,4995,USD,,dnjournal,,com
ascendme.com,2950,USD,,dnjournal,,com
timejoy.com,4995,USD,,dnjournal,,com
caraibes.com,2900,USD,,dnjournal,,com
godmadeit.com,4988,USD,,dnjournal,,com
cc-foto.com,2900,USD,,dnjournal,,com
desertharbor.com,4960,USD,,dnjournal,,com
stargorilla.com,2855,USD,,dnjournal,,com
proficienthub.com,4888,USD,,dnjournal,,com
shoutdeals.com,2800,USD,,dnjournal,,com
myevery.com,4788,USD,,dnjournal,,com
den10.com,2500,USD,,dnjournal,,com
7realty.com,4500,USD,,dnjournal,,com
worthworx.com,2500,USD,,dnjournal,,com
htenergy.com,4060,USD,,dnjournal,,com
zumx.com,2500,USD,,dnjournal,,com
wechsel.com,4060,USD,,dnjournal,,com
creatorsengine.com,2395,USD,,dnjournal,,com
clarsen.com,4000,USD,,dnjournal,,com
hotelmotel.com,2389,USD,,dnjournal,,com
etree.com,4000,USD,,dnjournal,,com
beleg.com,2320,USD,,dnjournal,,com
bonchonchicken.com,3999,USD,,dnjournal,,com
deltaqua.com,2320,USD,,dnjournal,,com
wbngroup.com,3999,USD,,dnjournal,,com
maugli.com,2320,USD,,dnjournal,,com
yorkwallcovering.com,3999,USD,,dnjournal,,com
jensenstudio.com,2215,USD,,dnjournal,,com
96pro.com,3995,USD,,dnjournal,,com
justinlucas.com,2199,USD,,dnjournal,,com
zallin.com,3815,USD,,dnjournal,,com
acbanks.com,2195,USD,,dnjournal,,com
hexolabs.com,3745,USD,,dnjournal,,com
lework.com,2013,USD,,dnjournal,,com
tippz.com,3540,USD,,dnjournal,,com
calculatorschool.com,2000,USD,,dnjournal,,com
eastway.com,3500,USD,,dnjournal,,com
dryfloat.com,2000,USD,,dnjournal,,com
tailblocks.com,3495,USD,,dnjournal,,com
spaghettisauceandmeatballs.com,2000,USD,,dnjournal,,com
popson.com,8800,USD,,dnjournal,,com
lawsuitclub.com,3300,USD,,dnjournal,,com
myaudis4.com,261,USD,,dnjournal,,com
iptheft.com,8888,USD,,dnjournal,,com
masgo.com,8888,USD,,dnjournal,,com
vauclair.com,8888,USD,,dnjournal,,com
theheritageclub.com,8500,USD,,dnjournal,,com
annasgarden.com,7500,USD,,dnjournal,,com
frense.com,6300,USD,,dnjournal,,com
bashbar.com,4888,USD,,dnjournal,,com
castlestechnology.com,4888,USD,,dnjournal,,com
chrisbender.com,4888,USD,,dnjournal,,com
citycaffe.com,4888,USD,,dnjournal,,com
knackers.com,4888,USD,,dnjournal,,com
lighthouseholdings.com,4888,USD,,dnjournal,,com
luxurycargallery.com,4888,USD,,dnjournal,,com
privateyachtclub.com,4888,USD,,dnjournal,,com
revivalmission.com,4888,USD,,dnjournal,,com
saveyourfactory.com,4888,USD,,dnjournal,,com
yearoveryear.com,4888,USD,,dnjournal,,com
gemfood.com,4175,USD,,dnjournal,,com
holtmansdonutshop.com,950,USD,,dnjournal,,com
ethink.com,6250,USD,,dnjournal,,com
bettervision.com,5750,USD,,dnjournal,,com
cppe.com,2714,USD,,dnjournal,,com
datamedia.com,5508,USD,,dnjournal,,com
jeanniesbreakfast.com,2705,USD,,dnjournal,,com
ecoquip.com,5349,USD,,dnjournal,,com
therounduptx.com,2668,USD,,dnjournal,,com
sportleaguemaps.com,5317,USD,,dnjournal,,com
mishari.com,2619,USD,,dnjournal,,com
datium.com,5000,USD,,dnjournal,,com
ctaa.com,2608,USD,,dnjournal,,com
stolenvalor.com,4965,USD,,dnjournal,,com
digizen.com,2607,USD,,dnjournal,,com
wahooseafoodgrill.com,4555,USD,,dnjournal,,com
blendo.com,2600,USD,,dnjournal,,com
islandhopper.com,4311,USD,,dnjournal,,com
7vc.com,2549,USD,,dnjournal,,com
theleakyroof.com,4218,USD,,dnjournal,,com
motonation.com,2522,USD,,dnjournal,,com
cirl.com,4200,USD,,dnjournal,,com
