domain,price,currency,date,source,venue,tld
rocket.com,14000000,USD,2024-12-31,dnjournal_ytd,,com
gold.com,8515000,USD,2024-12-31,dnjournal_ytd,,com
tp.com,1200000,USD,2024-12-31,dnjournal_ytd,,com
koko.com,1000000,USD,2024-12-31,dnjournal_ytd,,com
continue.com,550000,USD,2024-12-31,dnjournal_ytd,,com
rural.com,550000,USD,2024-12-31,dnjournal_ytd,,com
bagels.com,500000,USD,2024-12-31,dnjournal_ytd,,com
employer.com,450000,USD,2024-12-31,dnjournal_ytd,,com
gosh.com,450000,USD,2024-12-31,dnjournal_ytd,,com
solutions.com,415000,USD,2024-12-31,dnjournal_ytd,,com
asap.com,404600,USD,2024-12-31,dnjournal_ytd,,com
oov.com,400000,USD,2024-12-31,dnjournal_ytd,,com
peace.com,400000,USD,2024-12-31,dnjournal_ytd,,com
wwi.com,350000,USD,2024-12-31,dnjournal_ytd,,com
babyandbeyond.com,350000,USD,2024-12-31,dnjournal_ytd,,com
pose.com,302670,USD,2024-12-31,dnjournal_ytd,,com
cancel.com,300000,USD,2024-12-31,dnjournal_ytd,,com
fsl.com,300000,USD,2024-12-31,dnjournal_ytd,,com
trill.com,289000,USD,2024-12-31,dnjournal_ytd,,com
galatea.com,275000,USD,2024-12-31,dnjournal_ytd,,com
girlfriend.ai,274610,USD,2024-12-31,dnjournal_ytd,,ai
ipl.com,265000,USD,2024-12-31,dnjournal_ytd,,com
madeiniran.com,250000,USD,2024-12-31,dnjournal_ytd,,com
sound.ai,250000,USD,2024-12-31,dnjournal_ytd,,ai
betz.com,240000,USD,2024-12-31,dnjournal_ytd,,com
ala.com,234000,USD,2024-12-31,dnjournal_ytd,,com
timely.com,228825,USD,2024-12-31,dnjournal_ytd,,com
humanity.org,225000,USD,2024-12-31,dnjournal_ytd,,org
please.ai,200000,USD,2024-12-31,dnjournal_ytd,,ai
casino.bet,200000,USD,2024-12-31,dnjournal_ytd,,bet
fluid.io,199995,USD,2024-12-31,dnjournal_ytd,,io
mortgagebroker.com.au,295000,USD,2024-12-31,dnjournal_ytd,,au
x.game,160000,USD,2024-12-31,dnjournal_ytd,,game
