date,domain,price,venue,length,dot_com,hyphen,numbers
2019-06-25,pierrerobin.com,133,GoDaddy,11,1,0,0
2018-08-20,masteres.com,120,NameJet,8,1,0,0
2018-11-18,jamana.com,117,GoDaddy,6,1,0,0
2017-07-28,fundibots.com,125,GoDaddy,9,1,0,0
2019-11-05,vns5999.com,115,GoDaddy,7,1,0,1
2019-08-25,health50.org,135,GoDaddy,8,0,0,1
2018-02-06,moviehole.com,124,Dynadot,9,1,0,0
2018-05-27,diamand.com,100,NameJet,7,1,0,0
2020-04-07,relogiosshop.com,103,GoDaddy,12,1,0,0
2019-03-28,beingdeveloper.com,100,Flippa,14,1,0,0
2018-07-03,tldtm.com,113,DropCatch,5,1,0,0
2019-12-15,zarbio.com,105,GoDaddy,6,1,0,0
2019-09-03,corre.ai,100,Whois.ai,5,0,0,0
2020-01-20,bodyultimate.com,138,GoDaddy,12,1,0,0
2019-04-30,heritagecity.com,112,GoDaddy,12,1,0,0
2018-07-28,cheval-aquitaine.com,118,DropCatch,16,1,1,0
2019-10-03,unwp.com,110,NameJet,4,1,0,0
2018-09-28,ireoigo.org,125,GoDaddy,7,0,0,0
2019-12-25,artisancloud.com,107,GoDaddy,12,1,0,0
2019-05-23,hawaiiheaven.com,134,GoDaddy,12,1,0,0
2018-11-25,backthebadge.com,122,GoDaddy,12,1,0,0
2020-02-05,clarityplan.com,106,GoDaddy,11,1,0,0
2018-05-05,windshield.org,107,NameJet,10,0,0,0
2018-11-25,ujwd.com,110,NameJet,4,1,0,0
2017-07-09,hieohare.com,105,GoDaddy,8,1,0,0
2017-12-02,mutinydc.com,130,GoDaddy,8,1,0,0
2020-03-27,celebritysdiary.com,103,GoDaddy,15,1,0,0
2020-03-30,oo.je,104,Park.io,2,0,0,0
2018-10-30,dra.io,109,Park.io,3,0,0,0
2019-08-30,staffingpool.com,100,GoDaddy,12,1,0,0
2019-04-29,medicocannabis.com,131,DropCatch,14,1,0,0
2017-07-26,igameradio.com,105,GoDaddy,10,1,0,0
2018-11-08,midvalleybank.com,106,GoDaddy,13,1,0,0
2018-08-02,bestwayhomes.com,127,GoDaddy,12,1,0,0
2017-09-05,iwgonline.org,113,Dynadot,9,0,0,0
2019-01-25,manyvids.org,120,DropCatch,8,0,0,0
2018-10-19,bkdtrenggalek.com,122,GoDaddy,13,1,0,0
2019-04-21,harrisand.org,105,GoDaddy,9,0,0,0
2017-09-24,delicom.com,121,DropCatch,7,1,0,0
2018-10-16,revistautopia.com,110,GoDaddy,13,1,0,0
2019-10-06,theartman.com,113,GoDaddy,9,1,0,0
2020-04-13,videovista.net,140,GoDaddy,10,0,0,0
2019-04-07,crosstownarts.com,130,NameJet,13,1,0,0
2018-02-11,bimcurriculum.com,105,GoDaddy,13,1,0,0
