date,domain,price,venue,length,dot_com,hyphen,numbers
2020-05-30,sit.ai,12000,Sedo,3,0,0,0
2020-05-30,zionism-israel.com,7801,GoDaddy,14,1,1,0
2020-05-30,simplybetter.com,5500,DropCatch,12,1,0,0
2020-05-21,brazil.org,22555,GoDaddy,6,0,0,0
2020-05-21,betterrecipes.com,20500,GoDaddy,13,1,0,0
2020-05-21,mindglobal.com,20006,GoDaddy,10,1,0,0
2020-05-22,tema.com,43805,DropCatch,4,1,0,0
2020-05-22,luxury.co,8888,Sav.com,6,0,0,0
2020-05-22,farrinstitute.org,6450,GoDaddy,13,0,0,0
2020-05-22,facemasks.net,5000,Sedo,9,0,0,0
2020-05-23,haaretzdaily.com,9001,NameJet,12,1,0,0
2020-05-23,freshstore.com,8100,GoDaddy,10,1,0,0
2020-05-23,sdqinfo.com,6300,GoDaddy,7,1,0,0
2020-05-23,ehuo.com,5001,NameJet,4,1,0,0
2020-05-25,55bbs.com,70050,DropCatch,5,1,0,1
2020-05-25,zz88.com,13750,GoDaddy,4,1,0,1
2020-05-25,houseofcoffee.com,9600,GoDaddy,13,1,0,0
2020-05-25,886677.com,8212,GoDaddy,6,1,0,1
2020-05-25,datago.com,5250,NameJet,6,1,0,0
2020-05-26,beatstar.com,20000,Sedo,8,1,0,0
2020-05-26,letra.com,6600,GoDaddy,5,1,0,0
2020-05-26,beatmuseum.org,6100,GoDaddy,10,0,0,0
2020-05-26,godeliver.com,6050,GoDaddy,9,1,0,0
2020-05-26,so.ai,5460,Sedo,2,0,0,0
2020-05-27,unw.com,21251,GoDaddy,3,1,0,0
2020-05-27,sensecheck.com,8017,Sedo,10,1,0,0
2020-05-27,publicdomainarchive.com,5100,DropCatch,19,1,0,0
2020-05-28,getadeal.com,9999,BuyDomains,8,1,0,0
2020-05-28,loken.com,6400,GoDaddy,5,1,0,0
2020-05-28,huisdieren.be,5505,Sedo,10,0,0,0
2020-05-28,qualitybuilders.com,5500,BuyDomains,15,1,0,0
2020-05-28,indiahomes.com,5250,NameJet,10,1,0,0
2020-05-29,rowan.com,22722,NameJet,5,1,0,0
2020-05-29,coolest.com,16251,Flippa,7,1,0,0
2020-05-29,galaxy.org,10100,NameJet,6,0,0,0
2020-05-29,viruscleaner.com,8984,Sedo,12,1,0,0
2020-05-29,autoinsurance.us,6600,GoDaddy,13,0,0,0
2020-05-21,chaseonline.com,16001,DropCatch,11,1,0,0
2020-05-26,shop.gg,5000,Sedo,4,0,0,0
2020-05-28,comingtogether.com,5205,DropCatch,14,1,0,0
2020-05-28,financialuproar.com,5000,GoDaddy,15,1,0,0
2020-05-29,fantasylab.com,6350,NameJet,10,1,0,0
2020-05-29,analystone.com,6000,Sedo,10,1,0,0
2020-05-10,jhsnet.org,10050,DropCatch,6,0,0,0
2020-05-10,gamepicks.com,7655,GoDaddy,9,1,0,0
2020-05-10,collegeaid.com,7395,GoDaddy,10,1,0,0
2020-05-10,b222.com,6400,GoDaddy,4,1,0,1
2020-05-10,lingy.com,6101,DropCatch,5,1,0,0
2020-05-10,ucharge.com,5100,GoDaddy,7,1,0,0
2020-04-11,2633.com,42500,GoDaddy,4,1,0,1
2020-04-21,turnthetiderx.org,10250,GoDaddy,13,0,0,0
2020-04-21,splashnewsonline.com,8815,DropCatch,16,1,0,0
2020-04-21,charlietrotters.com,8300,GoDaddy,15,1,0,0
2020-04-12,afa-france.com,11161,DropCatch,10,1,1,0
2020-04-12,7t7t.com,10000,GoDaddy,4,1,0,1
2020-04-12,sunmoon.com,5222,DropCatch,7,1,0,0
2020-04-12,autosportcatalog.com,5200,GoDaddy,16,1,0,0
2020-04-12,investortech.com,5100,GoDaddy,12,1,0,0
2020-04-13,88889.com,70000,GoDaddy,5,1,0,1
2020-04-13,camellia.com,30000,GoDaddy,8,1,0,0
2020-04-13,yogayoga.com,20250,GoDaddy,8,1,0,0
2020-04-13,safersys.org,15732,NameJet,8,0,0,0
2020-04-13,prepaidwireless.com,9190,GoDaddy,15,1,0,0
2020-04-01,desktoplinux.com,10066,GoDaddy,12,1,0,0
2020-04-01,freestar.cn,7188,Sedo,8,0,0,0
2020-04-01,1989.cc,6700,GoDaddy,4,0,0,1
2020-04-01,87677.com,6200,GoDaddy,5,1,0,1
2020-02-21,modena.com,36700,Sedo,6,1,0,0
2020-02-21,blackgirlmagic.com,15250,GoDaddy,14,1,0,0
2020-02-21,hze.com,14000,NameJet,3,1,0,0
2020-02-21,fly.us,10000,Sedo,3,0,0,0
2020-02-21,jozz.com,9000,Sedo,4,1,0,0
2020-02-21,23478.com,7505,GoDaddy,5,1,0,1
2020-03-22,homemate.com,5678,NameJet,8,1,0,0
2020-02-21,firststatebank.com,5800,NameJet,14,1,0,0
2020-02-21,alloksoft.com,5050,GoDaddy,9,1,0,0
2020-03-23,publicfinanceinternational.org,6200,GoDaddy,26,0,0,0
2020-03-23,homeaid.com,5201,GoDaddy,7,1,0,0
2020-01-23,clab.com,8100,NameJet,4,1,0,0
2020-02-01,telecomasia.net,28500,GoDaddy,11,0,0,0
2020-02-01,adly.com,9501,GoDaddy,4,1,0,0
2020-02-01,audioblog.com,6856,GoDaddy,9,1,0,0
2020-02-01,66989.com,6042,GoDaddy,5,1,0,1
2020-02-01,cannabi.com,5851,NameJet,7,1,0,0
2020-02-01,saurus.com,5100,GoDaddy,6,1,0,0
2020-01-22,boix.com,13411,Sedo,4,1,0,0
2020-01-22,brandmarketing.com,10001,DropCatch,14,1,0,0
2020-01-22,deltavision.com,5105,GoDaddy,11,1,0,0
2020-01-24,7910.com,83250,GoDaddy,4,1,0,1
2020-01-24,mahatma.com,11361,GoDaddy,7,1,0,0
2019-12-23,899999.com,31005,GoDaddy,6,1,0,1
2019-12-23,denka.com,10249,NameJet,5,1,0,0
2019-12-23,gw.org,9350,NameJet,2,0,0,0
2019-12-23,1ai.com,6850,GoDaddy,3,1,0,1
2019-12-13,pharmaceuticals.com,27200,GoDaddy,15,1,0,0
2019-12-13,oakbrook.com,13500,Sedo,8,1,0,0
2019-12-13,qse.com,11016,Sedo,3,1,0,0
2019-12-13,putzfrauen.de,5474,Sedo,10,0,0,0
2019-12-13,backhaul.com,5301,GoDaddy,8,1,0,0
2019-12-13,voteamerica.com,5000,BuyDomains,11,1,0,0
2019-12-02,nameservers.com,20001,NameJet,11,1,0,0
2019-12-02,8034.com,16500,GoDaddy,4,1,0,1
2019-12-02,revv.com,14750,GoDaddy,4,1,0,0
2019-12-02,idmd.com,5488,GoDaddy,4,1,0,0
2019-12-03,882.cc,42500,GoDaddy,3,0,0,1
2019-12-03,weedcenter.org,23100,NameJet,10,0,0,0
2019-12-03,xred.com,11000,EmpireNames.com,4,1,0,0
2019-12-03,woofpack.com,10000,Sedo,8,1,0,0
2019-12-03,starship.ai,8121,Whois.ai,8,0,0,0
2019-11-23,clean.tech,30000,Sedo,5,0,0,0
2019-11-23,prodin.com,7000,Sedo,6,1,0,0
2019-11-23,neji.com,6660,NameJet,4,1,0,0
2019-11-03,zee18.com,10250,GoDaddy,5,1,0,1
2019-11-03,fltd.com,6088,BuyDomains,4,1,0,0
2019-11-03,unknown.io,6000,NamePull.com,7,0,0,0
2019-11-02,hospitalprices.com,7088,BuyDomains,14,1,0,0
2019-11-02,assassins.com,6989,NameJet,9,1,0,0
2019-11-02,mailcloud.com,5755,GoDaddy,9,1,0,0
2019-11-02,autohoje.com,5746,GoDaddy,8,1,0,0
2019-10-14,animatorexpo.com,11805,GoDaddy,12,1,0,0
2019-10-14,999996.com,7500,GoDaddy,6,1,0,1
2019-10-14,medigapandyou.com,5201,GoDaddy,13,1,0,0
2019-10-15,miauk.com,11951,GoDaddy,5,1,0,0
2019-10-15,omisan.de,11032,Sedo,6,0,0,0
2019-10-15,87587.com,7341,GoDaddy,5,1,0,1
2019-10-15,devant.com,6458,NameJet,6,1,0,0
2019-10-15,befast.com,5455,GoDaddy,6,1,0,0
2019-10-16,pavillion.com,12600,NameJet,9,1,0,0
2019-10-16,rapid.io,8000,Sedo,5,0,0,0
2019-10-16,mydog.co.uk,5929,Sedo,5,0,0,0
2019-10-17,lumobodytech.com,26850,GoDaddy,12,1,0,0
2019-10-17,pkarchive.org,11250,GoDaddy,9,0,0,0
2019-10-18,blog-city.com,30500,GoDaddy,9,1,1,0
2019-10-18,1.to,20000,Park.io,1,0,0,1
2019-10-18,bold.co,15000,Efty,4,0,0,0
2019-10-18,ugandaairlines.com,13000,Solitary Web,14,1,0,0
2019-10-18,iwantmymoneyback.de,11127,Sedo,16,0,0,0
2019-10-18,morningcallcoffeestand.com,6880,GoDaddy,22,1,0,0
2019-10-18,fastonline.org,5600,GoDaddy,10,0,0,0
2019-10-19,loxo.com,18056,NameJet,4,1,0,0
2019-10-19,mm.at,6704,Sedo,2,0,0,0
2019-10-19,trustscore.com,6555,GoDaddy,10,1,0,0
2019-10-19,507777.com,6400,GoDaddy,6,1,0,1
2019-10-19,irda.org,6088,NameJet,4,0,0,0
2019-10-19,getcounted.com,5588,BuyDomains,10,1,0,0
2019-10-20,smartpillow.com,6694,DropCatch,11,1,0,0
2019-10-20,databasemanagement.com,5106,GoDaddy,18,1,0,0
2019-10-21,bps.com,51000,GoDaddy,3,1,0,0
2019-10-21,biodesign.com,7099,NameJet,9,1,0,0
2019-10-22,babybabybaby.com,6288,BuyDomains,12,1,0,0
2019-10-22,northfirst.com,5305,GoDaddy,10,1,0,0
2019-10-23,orderall.com,5588,BuyDomains,8,1,0,0
2019-10-23,stsiweb.org,5000,GoDaddy,7,0,0,0
2019-10-24,pudong.com,40049,DropCatch,6,1,0,0
2019-10-24,windenergy.com,39623,DropCatch,10,1,0,0
2019-10-24,fitandfabliving.com,6100,GoDaddy,15,1,0,0
2019-10-24,autodialer.com,5455,GoDaddy,10,1,0,0
2019-10-25,oli.com,50000,Sedo,3,1,0,0
2019-10-25,livegames.com,14601,NameJet,9,1,0,0
2019-10-25,vny.com,13000,Sedo,3,1,0,0
2019-10-25,biscotti.com,9999,Sedo,8,1,0,0
2019-10-25,vqf.com,9999,Sedo,3,1,0,0
2019-10-25,taf.se,5551,Sedo,3,0,0,0
2019-10-26,recipe4living.com,40500,GoDaddy,13,1,0,1
2019-10-26,wohnmobil.com,11080,Sedo,9,1,0,0
2019-10-25,myd.app,5000,Sedo,3,0,0,0
2019-10-27,solteros.es,5540,Sedo,8,0,0,0
2019-10-28,xfire.com,39100,GoDaddy,5,1,0,0
2019-10-28,cgihouston.org,7613,GoDaddy,10,0,0,0
2019-10-29,navitel.com,13299,Sedo,7,1,0,0
2019-10-29,metproject.org,5721,GoDaddy,10,0,0,0
2019-10-30,energysecurity.com,5888,BuyDomains,14,1,0,0
2019-10-30,tradecom.com,5305,GoDaddy,8,1,0,0
2019-10-30,buybullion.com,5109,GoDaddy,10,1,0,0
2019-10-31,concurringopinions.com,24571,GoDaddy,18,1,0,0
2019-10-31,megu.com,8100,GoDaddy,4,1,0,0
2019-10-31,decodedscience.org,6472,GoDaddy,14,0,0,0
2019-10-31,360degrees.com,5877,NameJet,10,1,0,1
2019-10-31,produktvergleiche.de,5585,Sedo,17,0,0,0
2019-11-01,christoph.de,10048,Sedo,9,0,0,0
2019-11-01,altech.com,6850,DropCatch,6,1,0,0
2019-11-01,empoweredwomen.com,5588,BuyDomains,14,1,0,0
2019-11-04,clpgh.org,5900,NameJet,5,0,0,0
2019-11-04,openkitchen.com,5449,DropCatch,11,1,0,0
2019-11-05,gambling-law-us.com,57000,GoDaddy,15,1,1,0
2019-11-05,cook.io,39750,Park.io,4,0,0,0
2019-11-05,gamesapp.com,15000,Sedo,8,1,0,0
2019-11-05,lokal.at,5562,Sedo,5,0,0,0
2019-11-06,commercialsearch.com,30000,Sedo,16,1,0,0
2019-11-06,produktvergleich.de,18820,Sedo,16,0,0,0
2019-11-06,wxa.com,13501,Flippa,3,1,0,0
2019-11-06,weoffer.com,6062,GoDaddy,7,1,0,0
2019-11-06,streaming.io,5049,Park.io,9,0,0,0
2019-11-07,aiting.com,73000,GoDaddy,6,1,0,0
2019-11-07,workitmom.com,21250,GoDaddy,9,1,0,0
2019-11-07,orius.com,12250,GoDaddy,5,1,0,0
2019-11-07,webnet.com,7900,GoDaddy,6,1,0,0
2019-11-07,lade.de,5530,Sedo,4,0,0,0
2019-11-08,wanda.com,83817,NameJet,5,1,0,0
2019-11-08,00076.com,8300,GoDaddy,5,1,0,1
