date,domain,price,venue,length,dot_com,hyphen,numbers
2017-10-09,size-chart-shoe-clothing-international-sizing-conversion.com,100,GoDaddy,56,1,1,0
2015-07-14,surrealismnow.com,108,NameJet,13,1,0,0
2020-04-09,questforcoolstuff.com,101,GoDaddy,17,1,0,0
2019-05-22,vnjj.com,110,GoDaddy,4,1,0,0
2019-11-04,industrialphotos.com,114,GoDaddy,16,1,0,0
2020-04-09,427678.com,112,GoDaddy,6,1,0,1
2020-05-05,robotica.ai,100,Whois.ai,8,0,0,0
2018-08-11,turkpet.com,103,Sedo,7,1,0,0
2019-03-30,allelec.com,101,NameJet,7,1,0,0
2017-10-08,bitrating.com,104,DropCatch,9,1,0,0
2019-10-14,digitalpowder.com,111,DropCatch,13,1,0,0
2019-07-28,cricketwifi.com,103,GoDaddy,11,1,0,0
2019-05-05,wetherbe.com,106,GoDaddy,8,1,0,0
2019-04-16,powergoodness.com,105,GoDaddy,13,1,0,0
2019-07-18,bail1.com,110,GoDaddy,5,1,0,1
2018-11-29,sociallymindful.com,100,GoDaddy,15,1,0,0
2019-06-12,ritest.com,101,GoDaddy,6,1,0,0
2018-01-19,clueyblog.com,110,GoDaddy,9,1,0,0
2020-04-23,naturahirek.com,105,GoDaddy,11,1,0,0
2019-06-04,dolores.ai,110,Whois.ai,7,0,0,0
2018-11-26,oversharers.com,105,GoDaddy,11,1,0,0
2018-08-13,littlecast.com,110,GoDaddy,10,1,0,0
2017-11-18,dcoa.org,100,GoDaddy,4,0,0,0
2019-09-19,peace-village.org,105,GoDaddy,13,0,1,0
2017-09-03,icetrail.com,109,GoDaddy,8,1,0,0
2019-04-25,baerga.com,107,GoDaddy,6,1,0,0
2015-12-01,1818998.com,100,GoDaddy,7,1,0,1
2015-11-29,pawfashion.com,112,GoDaddy,10,1,0,0
2017-06-24,starbornsupport.com,104,GoDaddy,15,1,0,0
2018-04-12,topshelfmusic.com,105,GoDaddy,13,1,0,0
2015-09-01,sodafizz.com,114,GoDaddy,8,1,0,0
2020-05-09,ryugakublog.com,101,GoDaddy,11,1,0,0
2019-02-11,laraos.com,104,GoDaddy,6,1,0,0
2018-02-18,dentistonthego.com,102,GoDaddy,14,1,0,0
2018-09-04,ward7.com,106,GoDaddy,5,1,0,1
2019-02-08,theshred.com,105,GoDaddy,8,1,0,0
2017-07-07,toystimeforgot.com,104,GoDaddy,14,1,0,0
2019-06-24,scbakery.com,108,GoDaddy,8,1,0,0
2019-10-14,floor42.com,102,GoDaddy,7,1,0,1
2018-08-23,mrandersonmd.com,105,GoDaddy,12,1,0,0
2018-02-09,httplink.com,106,GoDaddy,8,1,0,0
2020-03-28,raising-twins.com,102,GoDaddy,13,1,1,0
2017-11-14,apercent.com,100,Sedo,8,1,0,0
2019-08-06,558.ai,100,Whois.ai,3,0,0,1
2018-09-29,mgm9977.com,100,GoDaddy,7,1,0,1
2018-03-02,bebottle.com,111,GoDaddy,8,1,0,0
2017-07-06,randombooks.com,110,Flippa,11,1,0,0
2019-11-22,polluted.net,105,Flippa,8,0,0,0
2019-11-07,datafactory.ai,100,Whois.ai,11,0,0,0
2020-02-24,corbellaband.com,105,GoDaddy,12,1,0,0
2018-07-29,heenanforcongress.com,100,GoDaddy,17,1,0,0
2019-06-18,cncev.com,114,GoDaddy,5,1,0,0
2020-05-01,the-locos.com,104,GoDaddy,9,1,1,0
2020-01-01,spectrum-token.com,100,GoDaddy,14,1,1,0
2017-09-07,northshoregc.net,100,GoDaddy,12,0,0,0
2020-03-07,omohide.com,110,GoDaddy,7,1,0,0
2018-03-28,china-zheng.com,112,DropCatch,11,1,1,0
2019-09-26,eshostiing.com,103,GoDaddy,10,1,0,0
2019-04-08,missiongenius.com,105,GoDaddy,13,1,0,0
2019-06-03,telemore.com,105,GoDaddy,8,1,0,0
2019-01-07,neweconomyindex.org,110,DropCatch,15,0,0,0
2018-07-15,directnetpartners.com,114,DropCatch,17,1,0,0
2019-03-12,marriagephotographer.com,112,NameJet,20,1,0,0
2019-07-22,mybigdeal.com,110,GoDaddy,9,1,0,0
2018-07-07,labdomain.com,105,GoDaddy,9,1,0,0
2017-10-08,aurumwines.com,105,GoDaddy,10,1,0,0
2020-05-30,ogezo.com,112,GoDaddy,5,1,0,0
2019-10-29,v579.com,102,GoDaddy,4,1,0,1
2018-12-29,800divorce.com,101,GoDaddy,10,1,0,1
2019-07-10,doctorremedy.com,114,GoDaddy,12,1,0,0
2018-06-29,checkserver.com,100,NameJet,11,1,0,0
2018-02-11,4df.co.uk,104,Sedo,3,0,0,1
2018-10-18,rebateway.com,100,Flippa,9,1,0,0
2018-06-02,twistednipple.com,110,GoDaddy,13,1,0,0
2019-03-24,oconnorsportland.com,100,GoDaddy,16,1,0,0
2018-07-28,qyoh.com,110,NameJet,4,1,0,0
2017-07-25,sundarpichai.com,107,GoDaddy,12,1,0,0
2017-07-11,openvps.com,111,NameJet,7,1,0,0
2018-08-04,petrucciforum.com,105,GoDaddy,13,1,0,0
2020-04-15,pkstream.com,105,GoDaddy,8,1,0,0
2019-01-10,wahtech.com,100,Sedo,7,1,0,0
2018-10-31,waterproofcast.com,104,GoDaddy,14,1,0,0
2020-03-31,dcpho14.com,105,GoDaddy,7,1,0,1
2017-09-19,airfees.com,109,NameJet,7,1,0,0
2019-07-03,grassskirttiki.com,110,GoDaddy,14,1,0,0
2019-08-18,uslines.com,100,NameJet,7,1,0,0
2018-02-10,conceptlinks.com,100,GoDaddy,12,1,0,0
2018-12-11,luxurywatchdeals.com,105,GoDaddy,16,1,0,0
2018-09-14,oldhavanaeats.com,110,GoDaddy,13,1,0,0
2018-01-07,forumculture.org,105,GoDaddy,12,0,0,0
2020-03-20,moshlab.com,101,GoDaddy,7,1,0,0
2017-10-13,wupdate.com,106,GoDaddy,7,1,0,0
2019-01-08,irf2015.org,100,DropCatch,7,0,0,1
2019-07-17,domaintickets.com,100,GoDaddy,13,1,0,0
2018-05-17,supersporting.com,101,Dynadot,13,1,0,0
2019-03-08,callonduty.com,112,DropCatch,10,1,0,0
2018-06-14,vrdude.com,104,DropCatch,6,1,0,0
2017-11-26,digitalboots.com,110,GoDaddy,12,1,0,0
2017-12-18,sidebartavern.com,110,GoDaddy,13,1,0,0
2018-07-28,softprofit.com,105,GoDaddy,10,1,0,0
2019-10-08,acquistion.ai,100,Whois.ai,10,0,0,0
2019-04-18,talentpeak.com,104,GoDaddy,10,1,0,0
2019-04-19,unarec.org,101,DropCatch,6,0,0,0
2017-06-29,onn.io,105,Flippa,3,0,0,0
2019-07-13,gigies.com,104,GoDaddy,6,1,0,0
2017-10-07,therighter.com,105,GoDaddy,10,1,0,0
2019-11-25,banglarchokhnews.com,103,GoDaddy,16,1,0,0
2018-08-11,clv21.com,114,DropCatch,5,1,0,1
2017-07-23,antinetwork.com,105,DropCatch,11,1,0,0
2020-03-11,u277.com,102,GoDaddy,4,1,0,1
2017-11-30,repreport.com,105,GoDaddy,9,1,0,0
2019-06-22,todaysseniorsnetwork.com,106,GoDaddy,20,1,0,0
2019-03-08,federaltech.com,100,GoDaddy,11,1,0,0
2019-11-09,crudacafe.com,110,GoDaddy,9,1,0,0
2017-12-24,kenyong.com,104,DropCatch,7,1,0,0
2019-03-15,betterdecide.com,112,GoDaddy,12,1,0,0
2018-04-26,beyondoceans.com,107,GoDaddy,12,1,0,0
2017-12-25,universalrobots.net,101,GoDaddy,15,0,0,0
2018-07-27,smbootcamp.com,111,Sedo,10,1,0,0
2017-07-12,cytodyne.com,104,GoDaddy,8,1,0,0
